label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125
hello,0.0,0.0,0.0,-0.12888093292713165,-0.06372731178998947,-0.058441292494535446,-0.23651354014873505,-0.19490715861320496,-0.0889257863163948,-0.2989010214805603,-0.31856808066368103,-0.11637236177921295,-0.3315897285938263,-0.4460853934288025,-0.142048180103302,-0.17749065160751343,-0.4760981500148773,-0.03123754821717739,-0.20547285676002502,-0.6583080291748047,-0.07729034125804901,-0.21962900459766388,-0.7765364646911621,-0.12111678719520569,-0.22423864901065826,-0.8846456408500671,-0.1536024957895279,-0.10191746056079865,-0.5082973837852478,-0.038915909826755524,-0.12428515404462814,-0.720902681350708,-0.07470759749412537,-0.13488085567951202,-0.8598697781562805,-0.11200644075870514,-0.13897085189819336,-0.9801739454269409,-0.141230970621109,-0.02682662010192871,-0.49550044536590576,-0.05736212432384491,-0.03230879083275795,-0.6952860951423645,-0.09370309859514236,-0.033122844994068146,-0.8258656859397888,-0.12016668915748596,-0.035077713429927826,-0.9426518082618713,-0.14106322824954987,0.049564313143491745,-0.4440109133720398,-0.08291304856538773,0.05476747453212738,-0.5991811156272888,-0.11588257551193237,0.057280994951725006,-0.7052419781684875,-0.13072291016578674,0.056283243000507355,-0.8065240979194641,-0.14213140308856964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hello,0.0,0.0,0.0,-0.12766246497631073,-0.06557177752256393,-0.05880573391914368,-0.2355021983385086,-0.20076195895671844,-0.08926475793123245,-0.2993506193161011,-0.3257805109024048,-0.1162441223859787,-0.3347945511341095,-0.45147645473480225,-0.14129827916622162,-0.17710453271865845,-0.4811145067214966,-0.03361298516392708,-0.20447665452957153,-0.6653386354446411,-0.08010106533765793,-0.21881750226020813,-0.7846651077270508,-0.12307889759540558,-0.22373951971530914,-0.8923737406730652,-0.1545480191707611,-0.10087350010871887,-0.5107240080833435,-0.04044952988624573,-0.12239395827054977,-0.7228778600692749,-0.07684545964002609,-0.13223960995674133,-0.8617313504219055,-0.11254821717739105,-0.13640892505645752,-0.980699360370636,-0.14007668197155,-0.024832621216773987,-0.49552977085113525,-0.05799523741006851,-0.029417412355542183,-0.6965959072113037,-0.09511483460664749,-0.030986513942480087,-0.827394425868988,-0.12067895382642746,-0.03528948873281479,-0.943996012210846,-0.1401214748620987,0.05210767686367035,-0.4421020448207855,-0.08248366415500641,0.05730656161904335,-0.6014783978462219,-0.11617263406515121,0.05810307711362839,-0.7092408537864685,-0.13115884363651276,0.0541117787361145,-0.8112586140632629,-0.14203862845897675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hello,0.0,0.0,0.0,-0.13008074462413788,-0.06574974954128265,-0.06304647028446198,-0.2386018931865692,-0.19748684763908386,-0.0970197319984436,-0.30398204922676086,-0.32218143343925476,-0.12703026831150055,-0.334893137216568,-0.4542783796787262,-0.15482757985591888,-0.17803511023521423,-0.4769892692565918,-0.03853801637887955,-0.20599660277366638,-0.6627187132835388,-0.08838994055986404,-0.2204824537038803,-0.7825425267219543,-0.13380303978919983,-0.22490690648555756,-0.891305685043335,-0.1667618453502655,-0.10130942612886429,-0.509240448474884,-0.04371359571814537,-0.12333881855010986,-0.7202967405319214,-0.08276109397411346,-0.1332213431596756,-0.8590977787971497,-0.12019310146570206,-0.13754642009735107,-0.9792159199714661,-0.14905430376529694,-0.024947555735707283,-0.4970719814300537,-0.05999613553285599,-0.030458111315965652,-0.6954195499420166,-0.09854237735271454,-0.032040104269981384,-0.8260769248008728,-0.12474934011697769,-0.03615405037999153,-0.9423444271087646,-0.14473317563533783,0.0528525784611702,-0.44658106565475464,-0.08368714898824692,0.05791403725743294,-0.6047172546386719,-0.11788878589868546,0.05824577435851097,-0.7123488783836365,-0.13342827558517456,0.05381527170538902,-0.8129501342773438,-0.14483217895030975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hello,0.0,0.0,0.0,-0.13078458607196808,-0.06402909010648727,-0.06223808601498604,-0.23918183147907257,-0.19777773320674896,-0.09575822949409485,-0.30099406838417053,-0.325053334236145,-0.12527090311050415,-0.33483028411865234,-0.4578680694103241,-0.15295809507369995,-0.1781153529882431,-0.47736111283302307,-0.039464522153139114,-0.2050388753414154,-0.661192774772644,-0.0882544293999672,-0.2194271981716156,-0.7791876792907715,-0.13310493528842926,-0.2250031977891922,-0.887457549571991,-0.1662939488887787,-0.10020162165164948,-0.5066154599189758,-0.046062592417001724,-0.12265796959400177,-0.7177393436431885,-0.08562196046113968,-0.13307777047157288,-0.8565798401832581,-0.12471088767051697,-0.1393597275018692,-0.9780012369155884,-0.15521737933158875,-0.023885032162070274,-0.4911384582519531,-0.0635254830121994,-0.02897551655769348,-0.6897725462913513,-0.10379655659198761,-0.030581073835492134,-0.8224667310714722,-0.13329912722110748,-0.035915080457925797,-0.9412513971328735,-0.1558830738067627,0.05324559286236763,-0.439408540725708,-0.0879608690738678,0.058452095836400986,-0.5998303890228271,-0.1245635598897934,0.05905634164810181,-0.7089219093322754,-0.14294351637363434,0.054056644439697266,-0.812004804611206,-0.1568261831998825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hello,0.0,0.0,0.0,-0.13037438690662384,-0.06495564430952072,-0.05905526876449585,-0.23949243128299713,-0.19858480989933014,-0.09009081870317459,-0.3015393316745758,-0.32702693343162537,-0.11770084500312805,-0.33474698662757874,-0.4570671021938324,-0.14326874911785126,-0.17967161536216736,-0.47581222653388977,-0.033231839537620544,-0.2049587368965149,-0.6592822670936584,-0.0801275372505188,-0.21844759583473206,-0.777946412563324,-0.12402697652578354,-0.222989022731781,-0.8855178952217102,-0.15632276237010956,-0.10247647017240524,-0.5080791711807251,-0.040387000888586044,-0.12310892343521118,-0.7205216288566589,-0.07684871554374695,-0.1325189173221588,-0.8603435754776001,-0.11342314630746841,-0.13698320090770721,-0.9803385734558105,-0.14202775061130524,-0.026352448388934135,-0.4951901435852051,-0.058403853327035904,-0.031114300712943077,-0.6961151361465454,-0.09514664113521576,-0.03271649777889252,-0.8290553689002991,-0.12176823616027832,-0.03699927777051926,-0.9463498592376709,-0.14260916411876678,0.05174793303012848,-0.4445362091064453,-0.08344781398773193,0.057031601667404175,-0.6026144623756409,-0.1170324832201004,0.05681062117218971,-0.711321234703064,-0.13296177983283997,0.05137395113706589,-0.8130518198013306,-0.14504307508468628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hello,0.0,0.0,0.0,-0.12980888783931732,-0.06493964046239853,-0.060476113110780716,-0.23887723684310913,-0.2006112039089203,-0.09192634373903275,-0.3017653822898865,-0.3302772045135498,-0.11970768123865128,-0.3356957733631134,-0.4623890817165375,-0.1454731971025467,-0.17864245176315308,-0.47955676913261414,-0.0350046344101429,-0.2048068791627884,-0.6639006733894348,-0.08225732296705246,-0.21902957558631897,-0.7830755710601807,-0.1261674165725708,-0.2244521975517273,-0.8912909626960754,-0.15863719582557678,-0.10045523196458817,-0.5099577903747559,-0.041613202542066574,-0.12291335314512253,-0.7199206352233887,-0.07924117892980576,-0.13300707936286926,-0.8591253161430359,-0.11680693179368973,-0.1383911520242691,-0.9795424342155457,-0.14609766006469727,-0.023768151178956032,-0.4959144592285156,-0.05912589654326439,-0.030283624306321144,-0.691996693611145,-0.09728021174669266,-0.03308963403105736,-0.8224427700042725,-0.12477956712245941,-0.038984525948762894,-0.9390039443969727,-0.1459403932094574,0.05410036817193031,-0.4456368088722229,-0.08373367041349411,0.05809125676751137,-0.6037881374359131,-0.11858198046684265,0.05808645859360695,-0.7113178372383118,-0.13547571003437042,0.05305638164281845,-0.8124011158943176,-0.14809440076351166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hello,0.0,0.0,0.0,-0.1310126930475235,-0.06496842950582504,-0.060946155339479446,-0.2422747015953064,-0.19801437854766846,-0.09259863942861557,-0.30693286657333374,-0.32668718695640564,-0.12040071934461594,-0.3365585207939148,-0.45946723222732544,-0.14606821537017822,-0.17985033988952637,-0.47954627871513367,-0.034838851541280746,-0.2044515609741211,-0.6637069582939148,-0.08164110779762268,-0.21927636861801147,-0.7825716733932495,-0.1252754181623459,-0.2259337157011032,-0.8900740742683411,-0.1574229896068573,-0.10135911405086517,-0.5100565552711487,-0.04071623459458351,-0.12161027640104294,-0.7207596302032471,-0.07802574336528778,-0.13257896900177002,-0.8597718477249146,-0.11536385118961334,-0.13951534032821655,-0.9796562194824219,-0.14425435662269592,-0.02430829033255577,-0.49693313241004944,-0.05747615918517113,-0.028956826776266098,-0.6929376721382141,-0.0954420417547226,-0.03272496536374092,-0.823543906211853,-0.12330625206232071,-0.040010955184698105,-0.9392839670181274,-0.14435388147830963,0.053772907704114914,-0.44748562574386597,-0.08128274232149124,0.0593537800014019,-0.607332170009613,-0.11578688025474548,0.05991752818226814,-0.7154809236526489,-0.13261263072490692,0.05545693635940552,-0.8163943886756897,-0.1448991298675537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hello,0.0,0.0,0.0,-0.130021870136261,-0.0636599212884903,-0.06198253110051155,-0.24131852388381958,-0.19752590358257294,-0.09410157799720764,-0.3049921989440918,-0.32568904757499695,-0.12188220769166946,-0.3366696536540985,-0.4589381515979767,-0.14750885963439941,-0.1787613183259964,-0.47784528136253357,-0.03906223177909851,-0.20363886654376984,-0.6659297943115234,-0.08594581484794617,-0.21889840066432953,-0.7865646481513977,-0.1286669373512268,-0.22620801627635956,-0.8945315480232239,-0.15998752415180206,-0.10072167217731476,-0.506151020526886,-0.04448964446783066,-0.12198886275291443,-0.7197304964065552,-0.08177696913480759,-0.13253313302993774,-0.8597720265388489,-0.11810441315174103,-0.1388881504535675,-0.9794618487358093,-0.14616642892360687,-0.024090467020869255,-0.4910339415073395,-0.06066179275512695,-0.03015022724866867,-0.6899880170822144,-0.09885945916175842,-0.03276124596595764,-0.8209278583526611,-0.12608861923217773,-0.03904018551111221,-0.9373022317886353,-0.1466120481491089,0.0537099651992321,-0.440649151802063,-0.08387431502342224,0.05854019150137901,-0.601734459400177,-0.11891772598028183,0.059151358902454376,-0.7101580500602722,-0.13575628399848938,0.05466602370142937,-0.8116371035575867,-0.1479514092206955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hello,0.0,0.0,0.0,-0.13068604469299316,-0.06505351513624191,-0.06576263904571533,-0.24012573063373566,-0.19662240147590637,-0.1007416695356369,-0.30240342020988464,-0.3255959451198578,-0.13095515966415405,-0.33366742730140686,-0.4601640999317169,-0.1588180512189865,-0.17733913660049438,-0.4760124087333679,-0.042636945843696594,-0.20170088112354279,-0.6593277454376221,-0.09258835017681122,-0.2165328413248062,-0.7786409854888916,-0.13806283473968506,-0.2227921485900879,-0.8864684700965881,-0.17136341333389282,-0.09979389607906342,-0.5073142647743225,-0.04728669300675392,-0.12193422764539719,-0.7180534601211548,-0.08707466721534729,-0.1326407492160797,-0.8573791980743408,-0.12483549118041992,-0.13859249651432037,-0.9783040285110474,-0.15399150550365448,-0.023163050413131714,-0.4934382736682892,-0.06315375119447708,-0.029271360486745834,-0.6912781000137329,-0.10304827243089676,-0.032306596636772156,-0.8216761946678162,-0.13051867485046387,-0.0384870320558548,-0.9381785988807678,-0.15134212374687195,0.055422503501176834,-0.44274401664733887,-0.0865112915635109,0.06058277562260628,-0.6007668972015381,-0.12259674817323685,0.06023025885224342,-0.7078667283058167,-0.139693483710289,0.05430677905678749,-0.8077971935272217,-0.15217290818691254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hello,0.0,0.0,0.0,-0.1298266351222992,-0.06453564763069153,-0.061583489179611206,-0.23985931277275085,-0.19667960703372955,-0.09359628707170486,-0.30301177501678467,-0.3250180780887604,-0.12154422700405121,-0.3360401391983032,-0.45719680190086365,-0.14728517830371857,-0.17813105881214142,-0.47570064663887024,-0.037295106798410416,-0.2034519612789154,-0.6615201234817505,-0.0844893530011177,-0.21787624061107635,-0.7811918258666992,-0.1278647929430008,-0.22382894158363342,-0.888892650604248,-0.1595114767551422,-0.10057500004768372,-0.5058990716934204,-0.04287383705377579,-0.12205025553703308,-0.7189112901687622,-0.08009278774261475,-0.1329590380191803,-0.8592967987060547,-0.11653443425893784,-0.1390683799982071,-0.9796596169471741,-0.14466144144535065,-0.02403239533305168,-0.4923712909221649,-0.059303704649209976,-0.0290316641330719,-0.6914108395576477,-0.09713741391897202,-0.031690094619989395,-0.8221135139465332,-0.12403036653995514,-0.037550102919340134,-0.9375675320625305,-0.144295334815979,0.053838785737752914,-0.4431902766227722,-0.08283731341362,0.06019536405801773,-0.6029682755470276,-0.11728803813457489,0.06083613634109497,-0.7109372615814209,-0.133627787232399,0.05644085630774498,-0.8115296363830566,-0.14541806280612946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
